o@id,o@url,o@price,o@avail,o@set,o@weight,o@basket,o@stock,o_cat,o_name,o_desc,o_imgs_main@url,o_attrs_a@name,o_attrs_a
2167,https://konopnysklep.com.pl/akcesoria/tinymight-2-x-hero-capsule-case-blue.html,29,1,0,0,1,99,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tinymight 2 X HERO capsule case blue,Tinymight 2 X HERO capsule case blue,https://konopnysklep.com.pl/9294-large_default/tinymight-2-x-hero-capsule-case-blue.jpg,Producent,HERO
2168,https://konopnysklep.com.pl/akcesoria/arizer-solo-2-3-air-max-x-hero-capsule-case-onyx.html,29,1,0,0,1,97,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Arizer Solo 2 3 / AIR MAX X HERO capsule case onyx,Arizer Solo 2 3 / AIR MAX X HERO capsule case onyx,https://konopnysklep.com.pl/9298-large_default/arizer-solo-2-3-air-max-x-hero-capsule-case-onyx.jpg,Producent,HERO
2169,https://konopnysklep.com.pl/akcesoria/arizer-solo-2-3-air-max-x-hero-capsule-case-purple.html,29,1,0,0,1,100,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Arizer Solo 2 3 / AIR MAX X HERO capsule case purple,Arizer Solo 2 3 / AIR MAX X HERO capsule case purple,https://konopnysklep.com.pl/9302-large_default/arizer-solo-2-3-air-max-x-hero-capsule-case-purple.jpg,Producent,HERO
2170,https://konopnysklep.com.pl/akcesoria/arizer-solo-2-3-air-max-x-hero-capsule-case-green.html,29,1,0,0,1,98,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Arizer Solo 2 3 / AIR MAX X HERO capsule case green,Arizer Solo 2 3 / AIR MAX X HERO capsule case green,https://konopnysklep.com.pl/9306-large_default/arizer-solo-2-3-air-max-x-hero-capsule-case-green.jpg,Producent,HERO
2171,https://konopnysklep.com.pl/akcesoria/arizer-solo-2-3-air-max-x-hero-capsule-case-blue.html,29,1,0,0,1,100,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Arizer Solo 2 3 / AIR MAX X HERO capsule case blue,Arizer Solo 2 3 / AIR MAX X HERO capsule case blue,https://konopnysklep.com.pl/9310-large_default/arizer-solo-2-3-air-max-x-hero-capsule-case-blue.jpg,Producent,HERO
2172,https://konopnysklep.com.pl/akcesoria/metalowy-palnik-hero.html,79,1,0,0,1,326,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Metalowy palnik HERO,Metalowy palnik HERO,https://konopnysklep.com.pl/9314-large_default/metalowy-palnik-hero.jpg,Producent,HERO
2173,https://konopnysklep.com.pl/akcesoria/tacka-z-wlokna-konopnego-hero-green-19-x-14-cm.html,19,1,0,0,1,483,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tacka z włókna konopnego HERO green 19 x 14 cm,Tacka z włókna konopnego HERO green 19 x 14 cm,https://konopnysklep.com.pl/9406-large_default/tacka-z-wlokna-konopnego-hero-green-19-x-14-cm.jpg,Producent,HERO
2174,https://konopnysklep.com.pl/akcesoria/tacka-z-wlokna-konopnego-hero-pink-19-x-14-cm.html,19,1,0,0,1,490,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tacka z włókna konopnego HERO pink 19 x 14 cm,Tacka z włókna konopnego HERO pink 19 x 14 cm,https://konopnysklep.com.pl/9413-large_default/tacka-z-wlokna-konopnego-hero-pink-19-x-14-cm.jpg,Producent,HERO
2175,https://konopnysklep.com.pl/akcesoria/tacka-z-wlokna-konopnego-hero-blue-19-x-14-cm.html,19,1,0,0,1,483,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tacka z włókna konopnego HERO blue 19 x 14 cm,Tacka z włókna konopnego HERO blue 19 x 14 cm,https://konopnysklep.com.pl/9419-large_default/tacka-z-wlokna-konopnego-hero-blue-19-x-14-cm.jpg,Producent,HERO
2176,https://konopnysklep.com.pl/akcesoria/tacka-z-wlokna-konopnego-hero-onyx-19-x-14-cm.html,19,1,0,0,1,467,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tacka z włókna konopnego HERO onyx 19 x 14 cm,Tacka z włókna konopnego HERO onyx 19 x 14 cm,https://konopnysklep.com.pl/9425-large_default/tacka-z-wlokna-konopnego-hero-onyx-19-x-14-cm.jpg,Producent,HERO
2177,https://konopnysklep.com.pl/akcesoria/tacka-z-wlokna-konopnego-hero-19-x-14-cm.html,19,1,0,0,1,480,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",Tacka z włókna konopnego HERO 19 x 14 cm,Tacka z włókna konopnego HERO 19 x 14 cm,https://konopnysklep.com.pl/9436-large_default/tacka-z-wlokna-konopnego-hero-19-x-14-cm.jpg,Producent,HERO
2178,https://konopnysklep.com.pl/akcesoria/jcvap-pockety-x-hero-ceramiczna-komora-herbcloud-2mm-ruby.html,429,1,0,0,1,19,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",JCVAP POCKETY X HERO ceramiczna komora HerbCloud 2mm Ruby,JCVAP POCKETY X HERO ceramiczna komora HerbCloud 2mm Ruby,https://konopnysklep.com.pl/9381-large_default/jcvap-pockety-x-hero-ceramiczna-komora-herbcloud-2mm-ruby.jpg,Producent,HERO
2179,https://konopnysklep.com.pl/akcesoria/jcvap-pockety-x-hero-kwarcowa-komora-herbcloud-2mm-ruby-pearls.html,429,1,0,0,1,10,"Akcesoria do waporyzatorów, Waporyzacji i Palenia",JCVAP POCKETY X HERO kwarcowa komora HerbCloud 2mm ruby pearls,JCVAP POCKETY X HERO kwarcowa komora HerbCloud 2mm ruby pearls,https://konopnysklep.com.pl/9507-large_default/jcvap-pockety-x-hero-kwarcowa-komora-herbcloud-2mm-ruby-pearls.jpg,Producent,HERO
